,game_id,home_gk_overall,home_dc_overall,home_mid_overall,home_st_overall,away_gk_overall,away_dc_overall,away_mid_overall,away_st_overall,homeScore,awayScore,matchResult
847,3957eebd,60.0,67.0,67.66666666666667,62.0,71.0,61.5,62.0,61.666666666666664,1,0,Home
848,67041fa5,62.0,62.6,68.25,61.5,empty,66.8,77.0,58.0,2,2,Draw
849,b696acad,71.0,63.0,67.66666666666667,73.0,66.0,64.75,58.666666666666664,76.4,2,0,Home
850,f7db6990,66.0,67.0,64.33333333333333,71.0,63.0,60.833333333333336,69.66666666666667,69.5,1,0,Home
851,d1422003,67.0,61.8,64.33333333333333,68.5,64.0,60.8,63.666666666666664,70.33333333333333,2,2,Draw
852,9a8c884c,59.0,64.25,63.5,67.33333333333333,81.0,59.25,58.666666666666664,63.5,0,1,Away
853,863ee181,empty,67.0,70.66666666666667,64.25,61.0,56.5,57.0,69.0,2,3,Away
854,7b5edccd,63.0,61.0,63.0,63.5,67.0,71.4,60.333333333333336,62.0,1,3,Away
855,9e18cf79,68.0,61.75,66.75,58.5,71.0,67.25,68.0,63.0,1,3,Away
856,cdf13a58,71.0,62.5,68.2,71.5,61.0,66.5,63.666666666666664,63.333333333333336,1,1,Draw
857,f7f8d2b1,68.0,63.0,64.0,62.666666666666664,62.0,68.8,76.0,58.0,2,1,Home
858,5494c9d6,67.0,64.25,63.333333333333336,62.0,61.0,75.66666666666667,69.0,80.5,2,2,Draw
859,f850eea5,66.0,67.0,67.66666666666667,67.66666666666667,68.0,62.25,66.33333333333333,65.25,2,6,Away
860,d840de58,63.0,56.5,61.666666666666664,72.0,64.0,64.75,64.0,67.0,2,1,Home
861,8cc36332,empty,61.0,63.0,65.0,81.0,57.666666666666664,75.0,66.0,2,0,Home
862,1488d812,68.0,67.75,69.66666666666667,71.5,68.0,65.0,57.666666666666664,77.66666666666667,2,1,Home
863,6b21872e,59.0,59.6,58.666666666666664,61.0,empty,64.75,66.33333333333333,62.666666666666664,1,1,Draw
864,ec35ab5c,64.0,61.5,67.0,63.5,71.0,60.0,67.0,70.33333333333333,2,5,Away
865,bfe740ac,68.0,63.5,59.333333333333336,67.0,71.0,68.6,67.66666666666667,63.333333333333336,0,3,Away
866,84ed0867,68.0,60.25,60.5,61.5,68.0,58.833333333333336,60.25,68.33333333333333,0,2,Away
867,605ef273,empty,61.25,62.333333333333336,71.5,62.0,57.666666666666664,60.333333333333336,70.0,0,1,Away
868,4b3924f8,62.0,62.75,64.66666666666667,72.0,67.0,62.6,62.0,63.0,0,2,Away
